month,AQI,PM2.5,PM10,SO2,CO,NO2,O3
2014/1/1,166,129,201,46,1.374,73,56
2014/2/1,105,78,109,24,1.021,44,66
2014/3/1,107,75,141,33,0.826,62,107
2014/4/1,93,60,108,22,0.697,53,125
2014/5/1,134,85,172,26,0.887,56,177
2014/6/1,130,90,128,20,0.813,45,161
2014/7/1,98,65,92,13,0.816,36,128
2014/8/1,59,42,59,11,0.758,31,64
2014/9/1,77,51,82,13,0.733,37,105
2014/10/1,96,67,120,17,0.79,54,105
2014/11/1,111,82,132,21,1.037,60,58
2014/12/1,98,63,136,30,1.065,58,41
2015/1/1,129,96,154,30,1.313,66,40
2015/2/1,101,73,115,21,1.175,44,70
2015/3/1,83,56,96,20,1.113,49,83
2015/4/1,87,50,95,20,0.92,56,123
2015/5/1,95,52,90,18,0.887,47,141
2015/6/1,89,46,77,14,0.863,39,132
2015/7/1,77,36,64,12,0.713,36,117
2015/8/1,93,33,65,14,0.745,38,147
2015/9/1,84,30,62,15,0.733,44,138
2015/10/1,92,56,112,22,0.932,61,119
2015/11/1,84,57,88,17,1.087,53,59
2015/12/1,131,94,143,25,1.21,65,49
2016/1/1,111,79,124,26,1.345,58,58
2016/2/1,100,69,116,22,1.345,47,93
2016/3/1,110,77,133,21,1.216,57,95
2016/4/1,86,45,89,18,0.993,45,131
2016/5/1,97,43,88,15,1.039,37,141
2016/6/1,80,37,62,17,0.94,34,124
2016/7/1,76,30,56,18,1.006,30,115
2016/8/1,97,26,54,16,0.829,31,152
2016/9/1,102,33,67,14,0.817,37,154
2016/10/1,56,25,47,11,1.019,39,74
2016/11/1,72,43,84,18,1.227,51,64
2016/12/1,96,66,113,23,1.306,65,75
2017/1/1,89,59,96,20,1.223,51,73
2017/2/1,85,60,94,20,1.286,53,93
2017/3/1,77,47,89,18,1.168,54,105
2017/4/1,93,42,93,18,1.227,51,136
2017/5/1,111,30,69,18,1.061,45,160
2017/6/1,109,31,61,13,0.95,37,164
2017/7/1,79,19,46,13,1.013,34,127
2017/8/1,64,17,39,12,0.974,33,112
2017/9/1,72,26,49,10,0.95,40,112
2017/10/1,63,31,56,10,0.781,43,97
2017/11/1,81,50,104,16,0.91,60,72
2017/12/1,115,63,112,18,1.139,67,29
