城市,年度,平均AQI,人口总量,人口城镇化率,人均GDP,地区生产总值,专利,第二产业所占比率
常州,2017,88.92,471.73,71.8,140435,6618.42,33973,46.82
常州,2016,89.08,470.83,71,124889,5875.85,43860,46.8
常州,2015,94.08,470.14,70,114308,5371.22,38559,48.61
常州,2014,97.66,469.64,68.7,106329,4991.37,37833,49.98
滁州,2015,85.33,449.06,49.02,32634,1305.7,8785,50.32
滁州,2014,89.92,449.6112,47.75,30562,1214.386013,7598,53.62
滁州,2016,90.92,454.09,50.4,35302,1422.83,12628,49.71
滁州,2017,93.25,454.25,51.89,39517,1604.39,10083,50.85
杭州,2017,84.91,753.8771,76.8,135113,12603.36,75709,34.61
杭州,2016,85.58,735.9994,76.2,124286,11313.72,73546,36.42
杭州,2015,87.33,723.5545,75.3,139653,10050.21,60839,38.89
杭州,2014,90.33,715.7576,75.1,129448,9206.16,48569,41.77
合肥,2016,89.33,729.83,72.05,80138,6274.38,50792,50.7
合肥,2015,91.17,717.72,70.4,73102,5660.27,32364,52.6
合肥,2017,94.5,742.76,73.75,88456,7003.05,61340,49.02
合肥,2014,107.5,712.8052,69.1,67689,5180.556598,25393,55.25
湖州,2017,88,266.1413,62,82952,2476.13,28807,47.32
湖州,2016,88.92,264.8446,60.5,77110,2284.37,23271,48.13
湖州,2015,93.67,263.7139,59.2,79024,2084.26,21822,48.99
湖州,2014,94.17,263.7845,57.4,74334,1956,19886,51.08
嘉兴,2016,81.58,352.1175,62.9,83968,3862.11,32208,52.06
嘉兴,2017,84.5,356.3714,64.5,94510,4380.52,33029,52.91
嘉兴,2014,90.75,348.1377,59.2,96607,3352.6,23818,54.1
嘉兴,2015,90.83,349.4779,60.9,100852,3517.81,26339,52.61
金华,2016,75.58,481.1522,65.7,67158,3684.94,26488,44.6
金华,2017,79.5,485.5198,66.7,69445,3848.62,28852,42.27
金华,2015,84,478.0896,64.5,71391,3402.34,19102,45.53
金华,2014,94.41,475.0728,63.3,67654,3208.2,18989,47.02
马鞍山,2016,81.58,229.35,66.49,65833,1493.76,9477,55.4
马鞍山,2015,87,228.5,65.15,60802,1365.3,7960,56.66
马鞍山,2017,92.25,229.35,67.89,74709,1710.09,10116,56.22
马鞍山,2014,93.17,227.7312,63.86,60091,1333.12,6231,62.34
南京,2017,86.5,833.5,82.29,141103,11715.1,75405,38.03
南京,2016,90.25,827,82,129194,10662.28,65007,39.31
南京,2015,95.42,823.59,81.4,119883,9861.56,55944,40.39
南京,2014,106.17,821.61,80.9,109194,8956.05,56089,41.27
南通,2016,81.75,730.2,64.4,94304,6885.15,45557,47.06
南通,2017,83.17,730.5,66.03,105903,7734.64,54742,47.06
南通,2015,90.67,730,62.8,85712,6256.1,34770,48.64
南通,2014,91.08,729.8,61.2,78771,5748.61,27692,49.99
上海,2014,80.33,2425.68,89.6,99438,24068.2,81664,35.05
上海,2016,80.75,2419.7,87.9,116582,28183.51,119937,29.83
上海,2017,83.67,2418.33,87.7,126634,30632.99,131746,30.46
上海,2015,88.5,2415.27,87.6,106009,25659.18,100006,32.19
绍兴,2016,77.67,444.5334,64.3,96204,4789.03,70942,50.08
绍兴,2017,82.33,446.4803,65.5,101588,5078.37,51107,48.69
绍兴,2015,84.58,443.1052,63.2,100796,4465.97,45059,50.45
绍兴,2014,93.5,443.0358,62.1,96437,4265.88,28172,51.89
苏州,2017,85.42,1068.36,75.8,162388,17319.51,113694,47.55
苏州,2016,86.42,1064.74,75.5,148146,15750.43,106700,47.39
苏州,2015,91.25,1061.6,74.9,139127,14761.36,98704,49.25
苏州,2014,95.08,1060.4,74,132131,13994.42,103249,50.71
泰州,2016,88.33,464.58,63.2,89785,4169.34,31598,47.53
泰州,2017,89,465.19,64.93,102058,4744.53,31352,47.17
泰州,2015,93.67,464.16,61.6,80739,3746.35,26878,49.48
泰州,2014,98.17,463.86,60.2,73825,3422.77,26695,50.75
无锡,2017,89,655.3,76,160706,10511.8,52252,47.23
无锡,2016,90.33,652.9,75.8,143985,9387.81,71673,47.57
无锡,2015,94.58,651.1,75.4,133515,8685.91,56964,50.19
无锡,2014,100.42,650.01,74.5,128756,8358.98,54519,50.75
扬州,2016,85.08,449.14,64.4,100644,4516.4,27043,49.99
扬州,2015,92.33,448.36,62.8,90965,4075.92,24814,50.7
扬州,2014,95.25,447.79,61.2,83821,3750.13,22709,51.56
扬州,2017,95.92,450.82,66.05,112559,5064.92,32638,48.88
镇江,2016,84.42,318.13,69.2,122686,3900.08,34264,49.49
镇江,2017,94.58,318.63,70.5,125962,4010.36,33540,49.32
镇江,2015,96.25,317.65,67.9,112225,3561.98,24903,49.94
镇江,2014,97.17,317.14,66.6,104352,3306.28,25179,50.8
